stadt,bundesland,anteil
Sonthofen,Bayern,60.0
Sondershausen,Thüringen,63.9
Aichach,Bayern,60.0
Germersheim,Rheinland-Pfalz,37.3
Günzburg,Bayern,60.0
Luckenwalde,Brandenburg,90.1
Traunstein,Bayern,60.0
Mühldorf,Bayern,60.0
Wittmund,Niedersachsen,64.0
Bad Salzungen,Thüringen,63.9
Lichtenfels,Bayern,60.0
Greiz,Thüringen,63.9
Donauwörth,Bayern,60.0
Torgau,Sachsen,9.0
Holzminden,Niedersachsen,64.0
Dingolfing,Bayern,60.0
Annaberg-Buchholz,Sachsen,9.0
Eschwege,Hessen,58.0
Haldensleben,Sachsen-Anhalt,61.5
Sömmerda,Thüringen,63.9
Prenzlau,Brandenburg,90.1
Wittlich,Rheinland-Pfalz,37.3
Dillingen,Bayern,60.0
Bad Tölz,Bayern,60.0
Marktoberdorf,Bayern,60.0
Alzey,Rheinland-Pfalz,37.3
Bad Dürkheim,Rheinland-Pfalz,37.3
Weißenburg,Bayern,60.0
Bad Reichenhall,Bayern,60.0
Forst,Brandenburg,90.1
Parchim,Mecklenburg-Vorpommern,100.0
Sigmaringen,Baden-Württemberg,34.0
Bad Segeberg,Schleswig-Holstein,100.0
Heilbad Heiligenstadt,Thüringen,63.9
Eutin,Schleswig-Holstein,100.0
Cham,Bayern,60.0
Diepholz,Niedersachsen,64.0
Kronach,Bayern,60.0
Kelheim,Bayern,60.0
Bad Neustadt,Bayern,60.0
Künzelsau,Baden-Württemberg,34.0
Mindelheim,Bayern,60.0
Brake,Niedersachsen,64.0
Bitburg,Rheinland-Pfalz,37.3
Ratzeburg,Schleswig-Holstein,100.0
Jever,Niedersachsen,64.0
Lübben,Brandenburg,90.1
Montabaur,Rheinland-Pfalz,37.3
Erbach,Hessen,58.0
Lauterbach,Hessen,58.0
Haßfurt,Bayern,60.0
Eichstätt,Bayern,60.0
Tauberbischofsheim,Baden-Württemberg,34.0
Neustadt,Bayern,60.0
Pfarrkirchen,Bayern,60.0
Ebersberg,Bayern,60.0
Perleberg,Brandenburg,90.1
Bad Fallingbostel,Niedersachsen,64.0
Hildburghausen,Thüringen,63.9
Miesbach,Bayern,60.0
Bad Schwalbach,Hessen,58.0
Regen,Bayern,60.0
Eisenberg,Thüringen,63.9
Altötting,Bayern,60.0
Bad Ems,Rheinland-Pfalz,37.3
Lüchow,Niedersachsen,64.0
Miltenberg,Bayern,60.0
Wunsiedel,Bayern,60.0
Herzberg,Brandenburg,90.1
Plön,Schleswig-Holstein,100.0
Schleiz,Thüringen,63.9
Tirschenreuth,Bayern,60.0
Beeskow,Brandenburg,90.1
Daun,Rheinland-Pfalz,37.3
Simmern,Rheinland-Pfalz,37.3
Kirchheimbolanden,Rheinland-Pfalz,37.3
Freyung,Bayern,60.0
Birkenfeld,Rheinland-Pfalz,37.3
Altenkirchen,Rheinland-Pfalz,37.3
Neustadt,Bayern,60.0
Seelow,Brandenburg,90.1
Kusel,Rheinland-Pfalz,37.3
Cochem,Rheinland-Pfalz,37.3
Offenbach,Hessen,58.0
Weiden,Bayern,60.0
Nienburg,Niedersachsen,64.0
Verden,Niedersachsen,64.0
Köthen,Sachsen-Anhalt,61.5
Rotenburg,Niedersachsen,64.0
Karlstadt,Bayern,60.0
Neustadt,Hessen,58.0
Homberg,Hessen,58.0
Garmisch-Partenkirchen,Bayern,60.0
